Année;Catégorie;Nom;Lauréat;Sexe;Pour
2011;Meilleur Réalisateur;Olivier Assayas;Non;M;CARLOS, LE FILM
2015;Meilleur Réalisateur;Olivier Assayas;Non;M;SILS MARIA
2008;Meilleur Réalisateur;Olivier Dahan;Non;M;LA MÔME
2007;Meilleur Réalisateur;Pascale Ferran;Non;F;LADY CHATTERLEY
1999;Meilleur Réalisateur;Patrice Chéreau;Oui;M;CEUX QUI M'AIMENT PRENDRONT LE TRAIN
2002;Meilleur Réalisateur;Patrice Chéreau;Non;M;INTIMITÉ
1995;Meilleur Réalisateur;Patrice Chéreau;Non;M;LA REINE MARGOT
2000;Meilleur Réalisateur;Patrice Leconte;Non;M;LA FILLE SUR LE PONT
1991;Meilleur Réalisateur;Patrice Leconte;Non;M;LE MARI DE LA COIFFEUSE
1990;Meilleur Réalisateur;Patrice Leconte;Non;M;MONSIEUR HIRE
1997;Meilleur Réalisateur;Patrice Leconte;Oui;M;RIDICULE
1988;Meilleur Réalisateur;Patrice Leconte;Non;M;TANDEM
2001;Meilleur Réalisateur;Patricia Mazuy;Non;F;SAINT-CYR
2007;Meilleur Réalisateur;Philippe Lioret;Non;M;JE VAIS BIEN, NE T'EN FAIS PAS
2010;Meilleur Réalisateur;Philippe Lioret;Non;M;WELCOME
1982;Meilleur Réalisateur;Pierre Granier-Deferre;Non;M;UNE ÉTRANGE AFFAIRE
2012;Meilleur Réalisateur;Pierre Schoeller;Non;M;L'EXERCICE DE L'ETAT
1978;Meilleur Réalisateur;Pierre Schoendoerffer;Non;M;LE CRABE-TAMBOUR
2007;Meilleur Réalisateur;Rachid Bouchareb;Non;M;INDIGÈNES
2010;Meilleur Réalisateur;Radu Mihaileanu;Non;M;LE CONCERT
2006;Meilleur Réalisateur;Radu Mihaileanu;Non;M;VA, VIS ET DEVIENS
2000;Meilleur Réalisateur;Régis Wargnier;Non;M;EST-OUEST
1993;Meilleur Réalisateur;Régis Wargnier;Non;M;INDOCHINE
2009;Meilleur Réalisateur;Rémi Bezançon;Non;M;LE PREMIER JOUR DU RESTE DE TA VIE
1976;Meilleur Réalisateur;Robert Enrico;Non;M;LE VIEUX FUSIL
1998;Meilleur Réalisateur;Robert Guédiguian;Non;M;MARIUS ET JEANNETTE
2015;Meilleur Réalisateur;Robin Campillo;Non;M;EASTERN BOYS
2014;Meilleur Réalisateur;Roman Polanski;Oui;M;LA VÉNUS À LA FOURRURE
2003;Meilleur Réalisateur;Roman Polanski;Oui;M;LE PIANISTE
1980;Meilleur Réalisateur;Roman Polanski;Oui;M;TESS
2011;Meilleur Réalisateur;Roman Polanski;Oui;M;THE GHOST WRITER
2013;Meilleur Réalisateur;Stéphane Brizé;Non;M;QUELQUES HEURES DE PRINTEMPS
2015;Meilleur Réalisateur;Thomas Cailley;Non;M;LES COMBATTANTS
2015;Meilleur Réalisateur;Thomas Lilti;Non;M;HIPPOCRATE
2000;Meilleur Réalisateur;Tonie Marshall;Oui;F;VÉNUS BEAUTÉ (INSTITUT)
2012;Meilleur Réalisateur;Valérie Donzelli;Non;F;LA GUERRE EST DÉCLARÉE
2011;Meilleur Réalisateur;Xavier Beauvois;Non;M;DES HOMMES ET DES DIEUX
2006;Meilleur Réalisateur;Xavier Beauvois;Non;M;LE PETIT LIEUTENANT
2005;Meilleur Scénario Original ou Adaptation;Abdellatif Kechiche, Ghalya Lacroix;Oui;Mixte;L'ESQUIVE
2015;Meilleur Scénario Original;Abderrahmane Sissako, Kessen Tall;Oui;Mixte;TIMBUKTU
2005;Meilleur Scénario Original ou Adaptation;Agnès Jaoui, Jean-Pierre Bacri;Non;Mixte;COMME UNE IMAGE
1987;Meilleur Scénario Original et/ou Adaptation;Alain Cavalier, Camille de Casabianca;Oui;Mixte;THÉRÈSE
2004;Meilleur Scénario Original ou Adaptation;Alain Corneau;Non;M;STUPEUR ET TREMBLEMENTS
1980;Meilleur Scénario, Dialogues ou Adaptation;Alain Corneau, Georges Perec;Non;M;SÉRIE NOIRE
1992;Meilleur Scénario Original et/ou Adaptation;Alain Corneau, Pascal Quignard;Non;M;TOUS LES MATINS DU MONDE
2014;Meilleur Scénario Original;Alain Guiraudie;Non;M;L'INCONNU DU LAC
2006;Meilleur Scénario Original;Alain-Michel Blanc, Radu Mihaileanu;Oui;M;VA, VIS ET DEVIENS
2014;Meilleur Scénario Original;Albert Dupontel;Oui;M;9 MOIS FERME
1998;Meilleur Scénario Original et/ou Adaptation;Anne Fontaine, Gilles Taurand;Non;Mixte;NETTOYAGE À SEC
2008;Meilleur Scénario Original;Anne le Ny;Non;F;CEUX QUI RESTENT
1993;Meilleur Scénario Original et/ou Adaptation;Arnaud Desplechin;Non;M;LA SENTINELLE
