Année;Catégorie;Nom;Lauréat;Sexe;Pour
2009;Meilleur Film Documentaire;LES PLAGES D'AGNÈS;Oui;F;réalisé par Agnès Varda
2009;Meilleur Film Documentaire;J'IRAI DORMIR À HOLLYWOOD;Non;M;réalisé par Antoine de Maximy
2008;Meilleur Film Documentaire;L'AVOCAT DE LA TERREUR;Oui;M;réalisé par Barbet Schroeder
2017;Meilleur Film Documentaire;VOYAGE À TRAVERS LE CINÉMA FRANÇAIS;Non;M;réalisé par Bertrand Tavernier, produit par Frédéric Bourboulon
2007;Meilleur Film Documentaire;LÀ-BAS;Non;F;réalisé par Chantal Akerman
2002;Meilleure Actrice;Emmanuelle Devos;Oui;F;SUR MES LÈVRES
2005;Meilleure Actrice;Emmanuelle Devos;Non;F;ROIS ET REINE
2010;Meilleure Actrice dans un Second Rôle;Emmanuelle Devos;Oui;F;À L'ORIGINE
2003;Meilleure Actrice dans un Second Rôle;Emmanuelle Devos;Non;F;L'ADVERSAIRE
2013;Meilleure Actrice;Emmanuelle Riva;Oui;F;AMOUR
2014;Meilleure Actrice;Emmanuelle Seigner;Non;F;LA VÉNUS À LA FOURRURE
1999;Meilleure Actrice dans un Second Rôle;Emmanuelle Seigner;Non;F;PLACE VENDÔME
2008;Meilleur Film Documentaire;LES LIP, L'IMAGINATION AU POUVOIR;Non;M;réalisé par Christian Rouaud
2012;Meilleur Film Documentaire;TOUS AU LARZAC;Oui;M;réalisé par Christian Rouaud, produit par Sandrine Brauer, Marie Masmonteil, Denis Carot
2014;Meilleur Film Documentaire;LE DERNIER DES INJUSTES;Non;M;réalisé par Claude Lanzmann, produit par David Frenkel, Jean Labadie
2013;Meilleur Film Documentaire;JOURNAL DE FRANCE;Non;F;réalisé par Claudine Nougaret, Raymond Depardon, produit par Claudine Nougaret
2016;Meilleur Film Documentaire;DEMAIN;Oui;M;réalisé par Cyril Dion, Mélanie Laurent, produit par Bruno Levy
2012;Meilleur Film Documentaire;LE BAL DES MENTEURS;Non;M;réalisé par Daniel Leconte, produit par Daniel Leconte
2016;Meilleur Film Documentaire;CAVANNA, JUSQU'À L'ULTIME SECONDE, J'ÉCRIRAI;Non;M;réalisé par Denis Robert, Nina Robert, produit par Nina Robert, Denis Robert, Bertrand Faivre
2013;Meilleur Film Documentaire;BOVINES OU LA VRAIE VIE DES VACHES;Non;M;réalisé par Emmanuel Gras, produit par Nicolas Anthomé, Jérémie Jorrand
2010;Meilleur Film Documentaire;NE ME LIBÉREZ PAS JE M'EN CHARGE;Non;F;réalisé par Fabienne Godet
2011;Meilleur Film Documentaire;BENDA BILILI !;Non;M;réalisé par Florent de la Tullaye, Renaud Barret, produit par Yves Chanvillard, Nadim Cheikhrouha, Florent de la Tullaye, Renaud Barret
2017;Meilleur Film Documentaire;MERCI PATRON !;Oui;M;réalisé par François Ruffin, produit par Édouard Mauriat, Anne-Cécile Berthomeau, Johanna Silva
2010;Meilleur Film Documentaire;LA DANSE, LE BALLET DE L'OPÉRA DE PARIS;Non;M;réalisé par Frederick Wiseman
2012;Meilleur Film Documentaire;CRAZY HORSE;Non;M;réalisé par Frederick Wiseman, produit par Pierre Olivier Bardet
2015;Meilleur Film Documentaire;NATIONAL GALLERY;Non;M;réalisé par Frederick Wiseman, produit par Pierre Olivier Bardet
2017;Meilleur Film Documentaire;FUOCOAMMARE, PAR-DELÀ LAMPEDUSA;Non;M;réalisé par Gianfranco Rosi, produit par Serge Lalou, Camille Laemlé
2002;Meilleur Acteur;Eric Caravaca;Non;M;LA CHAMBRE DES OFFICIERS
2013;Meilleur Film Documentaire;LES NOUVEAUX CHIENS DE GARDE;Non;M;réalisé par Gilles Balbastre, Yannick Kergoat, produit par Jacques Kirsner
2011;Meilleur Acteur;Eric Elmosnino;Oui;M;GAINSBOURG (VIE HÉROÏQUE)
2015;Meilleur Acteur dans un Second Rôle;Eric Elmosnino;Non;M;LA FAMILLE BÉLIER
2008;Meilleur Film Documentaire;LE PREMIER CRI;Non;M;réalisé par Gilles de Maistre
2011;Meilleur Film Documentaire;OCÉANS;Oui;M;réalisé par Jacques Perrin, Jacques Cluzaud, produit par Jacques Perrin, Nicolas Mauvernay
2016;Meilleur Film Documentaire;UNE JEUNESSE ALLEMANDE;Non;M;réalisé par Jean-Gabriel Périot, produit par Nicolas Brevière
2007;Meilleur Film Documentaire;ICI NAJAC, À VOUS LA TERRE;Non;M;réalisé par Jean-Henri Meunier
2011;Meilleur Film Documentaire;CLEVELAND CONTRE WALL STREET;Non;M;réalisé par Jean-Stéphane Bron, produit par Philippe Martin
2017;Meilleur Film Documentaire;DERNIÈRES NOUVELLES DU COSMOS;Non;F;réalisé par Julie Bertuccelli, produit par Yaël Fogiel, Laetitia Gonzalez
2015;Meilleur Film Documentaire;LA COUR DE BABEL;Non;F;réalisé par Julie Bertuccelli, produit par Yaël Fogiel, Laetitia Gonzalez, Eric Lagesse
2007;Meilleur Film Documentaire;DANS LA PEAU DE JACQUES CHIRAC;Oui;M;réalisé par Karl Zéro, Michel Royer
2008;Meilleur Film Documentaire;LES ANIMAUX AMOUREUX;Non;M;réalisé par Laurent Charbonnier
2014;Meilleur Film Documentaire;IL ÉTAIT UNE FORÊT;Non;M;réalisé par Luc Jacquet, produit par Yves Darondeau, Christophe Lioud, Emmanuel Priou
2011;Meilleur Film Documentaire;ENTRE NOS MAINS;Non;F;réalisé par Mariana Otero, produit par Denis Freyd
2010;Meilleur Film Documentaire;HIMALAYA, LE CHEMIN DU CIEL;Non;F;réalisé par Marianne Chaud
2012;Meilleur Film Documentaire;MICHEL PETRUCCIANI;Non;M;réalisé par Michael Radford, produit par Serge Lalou
2008;Meilleur Film Documentaire;RETOUR EN NORMANDIE;Non;M;réalisé par Nicolas Philibert
2014;Meilleur Film Documentaire;LA MAISON DE LA RADIO;Non;M;réalisé par Nicolas Philibert, produit par Serge Lalou
2017;Meilleur Film Documentaire;SWAGGER;Non;M;réalisé par Olivier Babinet, produit par Marine Dorfmann, Alexandre Perrier
2014;Meilleur Film Documentaire;COMMENT J'AI DÉTESTÉ LES MATHS;Non;M;réalisé par Olivier Peyon, produit par Laurence Petit, Carole Scotta, Bruno Nahon
2014;Meilleur Film Documentaire;SUR LE CHEMIN DE L'ÉCOLE;Oui;M;réalisé par Pascal Plisson, produit par Barthélémy Fougea
2016;Meilleur Film Documentaire;LE BOUTON DE NACRE;Non;M;réalisé par Patricio Guzmán, produit par Renate Sachse
2007;Meilleur Film Documentaire;ZIDANE, UN PORTRAIT DU XXIÈME SIÈCLE;Non;M;réalisé par Philippe Parreno, Douglas Gordon
2009;Meilleur Film Documentaire;TABARLY;Non;M;réalisé par Pierre Marcel
2011;Meilleur Film Documentaire;YVES SAINT LAURENT - PIERRE BERGÉ, L'AMOUR FOU;Non;M;réalisé par Pierre Thoretton, produit par Kristina Larsen, Hugues Charbonneau
2009;Meilleur Film Documentaire;LA VIE MODERNE;Non;M;réalisé par Raymond Depardon
2013;Meilleur Film Documentaire;DUCH, LE MAÎTRE DES FORGES DE L'ENFER;Non;M;réalisé par Rithy Panh, produit par Catherine Dussart
2016;Meilleur Film Documentaire;L'IMAGE MANQUANTE;Non;M;réalisé par Rithy Panh, produit par Catherine Dussart
2009;Meilleur Film Documentaire;ELLE S'APPELLE SABINE;Non;M;réalisé par Sandrine Bonnaire
2013;Meilleur Film Documentaire;LES INVISIBLES;Oui;M;réalisé par Sébastien Lifshitz, produit par Bruno Nahon
2010;Meilleur Film Documentaire;L'ENFER D' HENRI-GEORGES CLOUZOT;Oui;M;réalisé par Serge Bromberg, Ruxandra Medrea Annonier
2015;Meilleur Film Documentaire;LES CHÈVRES DE MA MÈRE;Non;F;réalisé par Sophie Audier, produit par Anne-Cécile Berthomeau, Édouard Mauriat
2015;Meilleur Film Documentaire;CARICATURISTES - FANTASSINS DE LA DÉMOCRATIE;Non;M;réalisé par Stéphanie Valloatto, produit par Radu Mihaileanu, Cyrille Blanc
2007;Meilleur Film Documentaire;LA FILLE DU JUGE;Non;M;réalisé par William Karel
2015;Meilleur Film Documentaire;LE SEL DE LA TERRE;Oui;M;réalisé par Wim Wenders, Juliano Ribeiro Salgado, produit par David Rosier
2010;Meilleur Film Documentaire;HOME;Non;M;réalisé par Yann Arthus-Bertrand
2012;Meilleur Film Documentaire;ICI ON NOIE LES ALGÉRIENS;Non;F;réalisé par Yasmina Adi, produit par Blanche Guichou
1981;Meilleur Film Étranger;KAGEMUSHA;Oui;M;réalisé par Akira Kurosawa
1986;Meilleur Film Étranger;RAN;Non;M;réalisé par Akira Kurosawa
1981;Meilleur Film Étranger;FAME;Non;M;réalisé par Alan Parker
2006;Meilleur Film Étranger;MAR ADENTRO;Non;M;réalisé par Alejandro Amenabar
2005;Meilleur Film Étranger;21 GRAMMES;Non;M;réalisé par Alejandro González Iñárritu
2007;Meilleur Film Étranger;BABEL;Non;M;réalisé par Alejandro González Iñárritu
2016;Meilleur Film Étranger;BIRDMAN;Oui;M;réalisé par Alejandro González Iñárritu, distribution France TWENTIETH CENTURY FOX
2014;Meilleur Film Étranger;GRAVITY;Non;M;réalisé par Alfonso Cuarón, distribution France WARNER BROS
1979;Meilleure Actrice dans un Second Rôle;Eva Darlan;Non;F;UNE HISTOIRE SIMPLE
1985;Meilleur Film Étranger;MARIA'S LOVERS;Non;M;réalisé par Andreï Konchalovsky
2004;Meilleur Film Étranger;LE RETOUR;Non;M;réalisé par Andreï Zviaguintsev
1982;Meilleur Film Étranger;L'HOMME DE FER;Non;M;réalisé par Andrzej Wajda
2007;Meilleur Film Étranger;LE SECRET DE BROKEBACK MOUNTAIN;Non;M;réalisé par Ang Lee
1998;Meilleur Film Étranger;LE PATIENT ANGLAIS;Non;M;réalisé par Anthony Minghella
2009;Meilleur Film Étranger;VALSE AVEC BACHIR;Oui;M;réalisé par Ari Folman
2012;Meilleur Film Étranger;UNE SÉPARATION;Oui;M;réalisé par Asghar Farhadi, distribution France MEMENTO FILMS DISTRIBUTION (Alexandre Mallet-Guy)
2017;Meilleur Acteur;Fabrice Luchini;Non;M;MA LOUTE
2016;Meilleur Acteur;Fabrice Luchini;Non;M;L'HERMINE
2014;Meilleur Acteur;Fabrice Luchini;Non;M;ALCESTE À BICYCLETTE
2013;Meilleur Acteur;Fabrice Luchini;Non;M;DANS LA MAISON
1997;Meilleur Acteur;Fabrice Luchini;Non;M;BEAUMARCHAIS, L'INSOLENT
1991;Meilleur Acteur;Fabrice Luchini;Non;M;LA DISCRÈTE
1994;Meilleur Acteur dans un Second Rôle;Fabrice Luchini;Oui;M;TOUT ÇA POUR ÇA
2008;Meilleur Acteur dans un Second Rôle;Fabrice Luchini;Non;M;MOLIÈRE
1995;Meilleur Acteur dans un Second Rôle;Fabrice Luchini;Non;M;LE COLONEL CHABERT
1993;Meilleur Acteur dans un Second Rôle;Fabrice Luchini;Non;M;LE RETOUR DE CASANOVA
1985;Meilleur Acteur dans un Second Rôle;Fabrice Luchini;Non;M;LES NUITS DE LA PLEINE LUNE
1990;Meilleur Film Étranger;RAIN MAN;Non;M;réalisé par Barry Levinson
2002;Meilleur Film Étranger;MOULIN ROUGE;Non;M;réalisé par Baz Luhrmann
2013;Meilleur Film Étranger;ARGO;Oui;M;réalisé par Ben Affleck, distribution France WARNER BROS
1988;Meilleur Film Étranger;LE DERNIER EMPEREUR;Oui;M;réalisé par Bernardo Bertolucci
1997;Meilleure Actrice;Fanny Ardant;Oui;F;PÉDALE DOUCE
2014;Meilleure Actrice;Fanny Ardant;Non;F;LES BEAUX JOURS
2003;Meilleure Actrice;Fanny Ardant;Non;F;8 FEMMES
1984;Meilleure Actrice;Fanny Ardant;Non;F;VIVEMENT DIMANCHE
1982;Meilleure Actrice;Fanny Ardant;Non;F;LA FEMME D'À CÔTÉ
1983;Meilleur Film Étranger;VICTOR VICTORIA;Oui;M;réalisé par Blake Edwards
1983;Meilleure Actrice dans un Second Rôle;Fanny Cottençon;Oui;F;L'ÉTOILE DU NORD
2009;Meilleur Film Étranger;ELDORADO;Non;M;réalisé par Bouli Lanners
1988;Meilleur Film Étranger;LES INCORRUPTIBLES;Non;M;réalisé par Brian de Palma
1996;Meilleur Film Étranger;USUAL SUSPECTS;Non;M;réalisé par Bryan Singer
1984;Meilleur Film Étranger;CARMEN;Non;M;réalisé par Carlos Saura
1977;Meilleur Film Étranger;CRIA CUERVOS;Non;M;réalisé par Carlos Saura
1994;Meilleur Film Étranger;ADIEU MA CONCUBINE;Non;M;réalisé par Chen Kaige
2011;Meilleur Film Étranger;INCEPTION;Non;M;réalisé par Christopher Nolan, distribution France WARNER BROS ENTERTAINMENT FRANCE (Iris Knobloch)
1989;Meilleur Film Étranger;BIRD;Non;M;réalisé par Clint Eastwood
2010;Meilleur Film Étranger;GRAN TORINO;Oui;M;réalisé par Clint Eastwood
2006;Meilleur Film Étranger;MILLION DOLLAR BABY;Oui;M;réalisé par Clint Eastwood
2004;Meilleur Film Étranger;MYSTIC RIVER;Oui;M;réalisé par Clint Eastwood
1996;Meilleur Film Étranger;SUR LA ROUTE DE MADISON;Non;M;réalisé par Clint Eastwood
2011;Meilleur Film Étranger;INVICTUS;Non;M;réalisé par Clint Eastwood, distribution France WARNER BROS ENTERTAINMENT FRANCE (Iris Knobloch)
2008;Meilleur Film Étranger;4 MOIS, 3 SEMAINES ET 2 JOURS;Non;M;réalisé par Cristian Mungiu
2017;Meilleur Film Étranger;BACCALAURÉAT;Non;M;réalisé par Cristian Mungiu, coproduction France WHY NOT PRODUCTIONS (Pascal Caucheteux, Grégoire Sorlat)
2010;Meilleur Film Étranger;SLUMDOG MILLIONAIRE;Non;M;réalisé par Danny Boyle
2012;Meilleur Film Étranger;BLACK SWAN;Non;M;réalisé par Darren Aronofsky, distribution France TWENTIETH CENTURY FOX (José Covo)
2006;Meilleur Film Étranger;A HISTORY OF VIOLENCE;Non;M;réalisé par David Cronenberg
1978;Meilleure Actrice dans un Second Rôle;Florence Giorgetti;Non;F;LA DENTELLIÈRE
2008;Meilleur Film Étranger;LES PROMESSES DE L'OMBRE;Non;M;réalisé par David Cronenberg
2011;Meilleur Film Étranger;THE SOCIAL NETWORK;Oui;M;réalisé par David Fincher, distribution France SONY PICTURES RELEASING FRANCE (Eric Brune)
1982;Meilleur Film Étranger;ELEPHANT MAN;Oui;M;réalisé par David Lynch
2002;Meilleur Film Étranger;MULHOLLAND DRIVE;Oui;M;réalisé par David Lynch
2001;Meilleure Actrice dans un Second Rôle;Florence Thomassin;Non;F;UNE AFFAIRE DE GOÛT
2012;Meilleur Film Étranger;INCENDIES;Non;M;réalisé par Denis Villeneuve, coproduction France TS PRODUCTIONS (Miléna Poylo, Gilles Sacuto, Anthony Doncque)
1976;Meilleur Film Étranger;PARFUM DE FEMME;Oui;M;réalisé par Dino Risi
2001;Meilleur Film Étranger;YI-YI;Non;M;réalisé par Edward Yang
1990;Meilleur Film Étranger;LE TEMPS DES GITANS;Non;M;réalisé par Emir Kusturica
1996;Meilleur Film Étranger;UNDERGROUND;Non;M;réalisé par Emir Kusturica
1979;Meilleur Film Étranger;L'ARBRE AUX SABOTS;Oui;M;réalisé par Ermanno Olmi
1997;Meilleur Film Étranger;FARGO;Non;M;réalisé par Ethan Coen, Joel Coen
1977;Meilleur Film Étranger;NOUS NOUS SOMMES TANT AIMÉS;Oui;M;réalisé par Ettore Scola
1978;Meilleur Film Étranger;UNE JOURNÉE PARTICULIÈRE;Oui;M;réalisé par Ettore Scola
2006;Meilleur Film Étranger;TU MARCHERAS SUR L'EAU;Non;M;réalisé par Eytan Fox
1977;Meilleure Actrice dans un Second Rôle;Francine Racette;Non;F;LA LUMIÈRE
2008;Meilleur Film Étranger;DE L'AUTRE CÔTÉ;Non;M;réalisé par Fatih Akin
1988;Meilleur Film Étranger;INTERVISTA;Non;M;réalisé par Federico Fellini
2014;Meilleur Film Étranger;ALABAMA MONROE;Oui;M;réalisé par Félix Van Groeningen, distribution France BODEGA FILMS
2008;Meilleur Film Étranger;LA VIE DES AUTRES;Oui;M;réalisé par Florian Henckel von Donnersmarck
1980;Meilleur Film Étranger;APOCALYPSE NOW;Non;M;réalisé par Francis Ford Coppola
1978;Meilleur Film Étranger;PAIN ET CHOCOLAT;Non;M;réalisé par Franco Brusati
1979;Meilleur Film Étranger;JULIA;Non;M;réalisé par Fred Zinnemann
1991;Meilleur Film Étranger;PRETTY WOMAN;Non;M;réalisé par Garry Marshall
2016;Meilleur Film Étranger;JE SUIS MORT MAIS J'AI DES AMIS;Non;M;réalisé par Guillaume Malandrin, Stéphane Malandrin, coproduction France TS PRODUCTIONS (Miléna Poylo, Gilles Sacuto)
1990;Meilleur Film Étranger;CINÉMA PARADISO;Non;M;réalisé par Guiseppe Tornatore
2004;Meilleur Film Étranger;ELEPHANT;Non;M;réalisé par Gus Van Sant
2010;Meilleur Film Étranger;HARVEY MILK;Non;M;réalisé par Gus Van Sant
2003;Meilleur Film Étranger;LE VOYAGE DE CHIHIRO;Non;M;réalisé par Hayao Miyazaki
2003;Meilleur Acteur;François Berléand;Non;M;MON IDOLE
2000;Meilleur Acteur dans un Second Rôle;François Berléand;Oui;M;MA PETITE ENTREPRISE
2005;Meilleur Acteur dans un Second Rôle;François Berléand;Non;M;LES CHORISTES
1985;Meilleur Film Étranger;GREYSTOKE, LA LÉGENDE DE TARZAN;Non;M;réalisé par Hugh Hudson
2003;Meilleur Film Étranger;IVRE DE FEMMES ET DE PEINTURE;Non;M;réalisé par Im Kwon-Taek
2007;Meilleur Acteur;François Cluzet;Oui;M;NE LE DIS À PERSONNE
2017;Meilleur Acteur;François Cluzet;Non;M;MÉDECIN DE CAMPAGNE
2012;Meilleur Acteur;François Cluzet;Non;M;INTOUCHABLES
2010;Meilleur Acteur;François Cluzet;Non;M;À L'ORIGINE
2010;Meilleur Acteur;François Cluzet;Non;M;LE DERNIER POUR LA ROUTE
1996;Meilleur Acteur;François Cluzet;Non;M;LES APPRENTIS
2007;Meilleur Acteur dans un Second Rôle;François Cluzet;Non;M;QUATRE ÉTOILES
2003;Meilleur Acteur dans un Second Rôle;François Cluzet;Non;M;L'ADVERSAIRE
1990;Meilleur Acteur dans un Second Rôle;François Cluzet;Non;M;FORCE MAJEURE
1984;Meilleur Acteur dans un Second Rôle;François Cluzet;Non;M;L'ÉTÉ MEURTRIER
1984;Meilleur Film Étranger;FANNY ET ALEXANDRE;Oui;M;réalisé par Ingmar Bergman
2016;Meilleur Acteur;François Damiens;Non;M;LES COWBOYS
2015;Meilleur Acteur;François Damiens;Non;M;LA FAMILLE BÉLIER
2014;Meilleur Acteur dans un Second Rôle;François Damiens;Non;M;SUZANNE
2011;Meilleur Acteur dans un Second Rôle;François Damiens;Non;M;L'ARNACOEUR
1976;Meilleur Film Étranger;LA FLÛTE ENCHANTÉE;Non;M;réalisé par Ingmar Bergman
1979;Meilleur Film Étranger;SONATE D'AUTOMNE;Non;M;réalisé par Ingmar Bergman
1992;Meilleur Film Étranger;TOTO LE HÉROS;Oui;M;réalisé par Jaco Van Dormael
2016;Meilleur Film Étranger;LE TOUT NOUVEAU TESTAMENT;Non;M;réalisé par Jaco Van Dormael, coproduction France APRÈS LE DÉLUGE (Jaco Van Dormael, Olivier Rausin, Daniel Marquet)
2016;Meilleur Film Étranger;TAXI TÉHÉRAN;Non;M;réalisé par Jafar Panahi, distribution France MEMENTO FILMS DISTRIBUTION
2010;Meilleur Film Étranger;AVATAR;Non;M;réalisé par James Cameron
1999;Meilleur Film Étranger;TITANIC;Non;M;réalisé par James Cameron
2008;Meilleur Film Étranger;LA NUIT NOUS APPARTIENT;Non;M;réalisé par James Gray
2009;Meilleur Film Étranger;TWO LOVERS;Non;M;réalisé par James Gray
1993;Meilleur Film Étranger;RETOUR À HOWARD'S END;Non;M;réalisé par James Ivory
1984;Meilleur Film Étranger;LES DIEUX SONT TOMBÉS SUR LA TÊTE;Non;M;réalisé par Jamie Uys
1994;Meilleur Film Étranger;LA LEÇON DE PIANO;Oui;F;réalisé par Jane Campion
2011;Meilleur Film Étranger;BRIGHT STAR;Non;F;réalisé par Jane Campion, distribution France PATHE DISTRIBUTION (Jérôme Seydoux)
1993;Meilleur Film Étranger;L'AMANT;Non;M;réalisé par Jean-Jacques Annaud
1987;Meilleur Film Étranger;LE NOM DE LA ROSE;Oui;M;réalisé par Jean-Jacques Annaud
1997;Meilleur Film Étranger;LA PROMESSE;Non;M;réalisé par Jean-Pierre Dardenne, Luc Dardenne
2009;Meilleur Film Étranger;LE SILENCE DE LORNA;Non;M;réalisé par Jean-Pierre Dardenne, Luc Dardenne
2015;Meilleur Film Étranger;DEUX JOURS, UNE NUIT;Non;M;réalisé par Jean-Pierre Dardenne, Luc Dardenne, coproduction France ARCHIPEL 35 (Denis Freyd)
2017;Meilleur Film Étranger;LA FILLE INCONNUE;Non;M;réalisé par Jean-Pierre Dardenne, Luc Dardenne, coproduction France ARCHIPEL 35 (Denis Freyd)
2012;Meilleur Film Étranger;LE GAMIN AU VÉLO;Non;M;réalisé par Jean-Pierre Dardenne, Luc Dardenne, coproduction France ARCHIPEL 35 (Denis Freyd)
2000;Meilleur Film Étranger;GHOST DOG, LA VOIE DU SAMOURAÏ;Non;M;réalisé par Jim Jarmusch
2013;Meilleur Film Étranger;À PERDRE LA RAISON;Non;M;réalisé par Joachim Lafosse, coproduction France LES FILMS DU WORSO (Sylvie Pialat)
2013;Meilleur Film Étranger;OSLO, 31 AOÛT;Non;M;réalisé par Joachim Trier, distribution France MEMENTO FILMS DISTRIBUTION
2002;Meilleur Film Étranger;THE BARBER L'HOMME QUI N'ÉTAIT PAS LÀ;Non;M;réalisé par Joel Coen
2007;Meilleur Film Étranger;LITTLE MISS SUNSHINE;Oui;Mixte;réalisé par Jonathan Dayton, Valèrie Faris
1992;Meilleur Film Étranger;LE SILENCE DES AGNEAUX;Non;M;réalisé par Jonathan Demme
1990;Meilleur Acteur dans un Second Rôle;François Perrot;Non;M;LA VIE ET RIEN D'AUTRE
2011;Meilleur Film Étranger;DANS SES YEUX;Non;M;réalisé par Juan José Campanella, distribution France PRETTY PICTURES (James Velaise)
1983;Meilleur Film Étranger;LA MAÎTRESSE DU LIEUTENANT FRANÇAIS;Non;M;réalisé par Karel Reisz
1996;Meilleur Film Étranger;LAND AND FREEDOM;Oui;M;réalisé par Ken Loach
1994;Meilleur Film Étranger;RAINING STONES;Non;M;réalisé par Ken Loach
2013;Meilleur Film Étranger;LA PART DES ANGES;Non;M;réalisé par Ken Loach, coproduction France WHY NOT PRODUCTIONS (Pascal Caucheteux, Grégoire Sorlat)
2009;Meilleur Acteur;François-Xavier Demaison;Non;M;COLUCHE, L'HISTOIRE D'UN MEC
2017;Meilleur Film Étranger;MOI, DANIEL BLAKE;Oui;M;réalisé par Ken Loach, coproduction France WHY NOT PRODUCTIONS (Pascal Caucheteux, Grégoire Sorlat)
2017;Meilleur Film Étranger;MANCHESTER BY THE SEA;Non;M;réalisé par Kenneth Lonergan, distribution France UNIVERSAL PICTURES INTERNATIONAL FRANCE
1992;Meilleur Film Étranger;DANSE AVEC LES LOUPS;Non;M;réalisé par Kevin Costner
2014;Meilleure Actrice dans un Second Rôle;Françoise Fabian;Non;F;LES GARÇONS ET GUILLAUME, À TABLE !
1989;Meilleure Actrice dans un Second Rôle;Françoise Fabian;Non;F;TROIS PLACES POUR LE 26
2017;Meilleur Film Étranger;AQUARIUS;Non;M;réalisé par Kleber Mendonça Filho, distribution France SBS DISTRIBUTION
1997;Meilleur Film Étranger;BREAKING THE WAVES;Oui;M;réalisé par Lars von Trier
2001;Meilleur Film Étranger;DANCER IN THE DARK;Non;M;réalisé par Lars von Trier
2012;Meilleur Film Étranger;MELANCHOLIA;Non;M;réalisé par Lars von Trier, coproduction France SLOT MACHINE (Marianne Slot)
2016;Meilleur Film Étranger;LE FILS DE SAUL;Non;M;réalisé par László Nemes, distribution France AD VITAM
2012;Meilleur Acteur dans un Second Rôle;Frédéric Pierrot;Non;M;POLISSE
2017;Meilleur Film Étranger;TONI ERDMANN;Non;M;réalisé par Maren Ade, distribution France HAUT ET COURT DISTRIBUTION
1998;Meilleur Film Étranger;LES VIRTUOSES;Oui;M;réalisé par Mark Herman
1981;Meilleur Film Étranger;THE ROSE;Non;M;réalisé par Mark Rydell
2017;Meilleur Acteur dans un Second Rôle;Gabriel Arcand;Non;M;LE FILS DE JEAN
1987;Meilleur Film Étranger;AFTER HOURS;Non;M;réalisé par Martin Scorsese
2004;Meilleur Film Étranger;GANGS OF NEW-YORK;Non;M;réalisé par Martin Scorsese
1991;Meilleur Film Étranger;LES AFFRANCHIS;Non;M;réalisé par Martin Scorsese
2009;Meilleur Film Étranger;GOMORRA;Non;M;réalisé par Matteo Garrone
1986;Meilleur Film Étranger;L'ANNÉE DU DRAGON;Non;M;réalisé par Michael Cimino
2010;Meilleur Film Étranger;LE RUBAN BLANC;Non;M;réalisé par Michael Haneke
2003;Meilleur Film Étranger;BOWLING FOR COLUMBINE;Oui;M;réalisé par Michael Moore
2005;Meilleur Film Étranger;FAHRENHEIT 9/11;Non;M;réalisé par Michael Moore
2004;Meilleur Acteur;Gad Elmaleh;Non;M;CHOUCHOU
1997;Meilleur Film Étranger;LE FACTEUR;Non;M;réalisé par Michael Radford
2013;Meilleur Film Étranger;BULLHEAD;Non;M;réalisé par Michaël Reynders Roskam, distribution France AD VITAM
2005;Meilleur Film Étranger;ETERNAL SUNSHINE OF THE SPOTLESS MIND;Non;M;réalisé par Michel Gondry
1997;Meilleur Film Étranger;SECRETS ET MENSONGES;Non;M;réalisé par Mike Leigh
1985;Meilleur Film Étranger;AMADEUS;Oui;M;réalisé par Milos Forman
1980;Meilleur Film Étranger;HAIR;Non;M;réalisé par Milos Forman
1977;Meilleur Film Étranger;VOL AU DESSUS D'UN NID DE COUCOU;Non;M;réalisé par Milos Forman
2017;Meilleur Acteur;Gaspard Ulliel;Oui;M;JUSTE LA FIN DU MONDE
2015;Meilleur Acteur;Gaspard Ulliel;Non;M;SAINT LAURENT
1989;Meilleur Film Étranger;SALAAM BOMBAY;Non;F;réalisé par Mira Nair
1995;Meilleur Film Étranger;JOURNAL INTIME;Non;M;réalisé par Nanni Moretti
2002;Meilleur Film Étranger;LA CHAMBRE DU FILS;Non;M;réalisé par Nanni Moretti
2016;Meilleur Film Étranger;MIA MADRE;Non;M;réalisé par Nanni Moretti, coproduction France LE PACTE (Jean Labadie)
1978;Meilleure Actrice dans un Second Rôle;Geneviève Fontanel;Non;F;L'HOMME QUI AIMAIT LES FEMMES
2012;Meilleur Film Étranger;DRIVE;Non;M;réalisé par Nicolas Winding Refn, codistribution France LE PACTE (Jean Labadie)
1988;Meilleur Film Étranger;LES YEUX NOIRS;Non;M;réalisé par Nikita Mikhalkov
2013;Meilleur Film Étranger;ROYAL AFFAIR;Non;M;réalisé par Nikolaj Arcel, distribution France JOUR2FÊTE / CHRYSALIS FILMS
2015;Meilleur Film Étranger;WINTER SLEEP;Non;M;réalisé par Nuri Bilge Ceylan, coproduction France MEMENTO FILMS PRODUCTION (Alexandre Mallet-Guy)
2011;Meilleur Film Étranger;ILLÉGAL;Non;M;réalisé par Olivier Masset-Depasse, coproduction France DHARAMSALA (Isabelle Madelaine)
2014;Meilleur Film Étranger;BLANCANIEVES;Non;M;réalisé par Pablo Berger, coproduction France NOODLES PRODUCTION (Jérôme Vidal)
2014;Meilleur Film Étranger;LA GRANDE BELLEZZA;Non;M;réalisé par Paolo Sorrentino, coproduction France BABE FILMS (Fabio Conversi)
2016;Meilleur Film Étranger;YOUTH;Non;M;réalisé par Paolo Sorrentino, coproduction France BARBARY FILMS (Fabio Conversi)
